should,should
allow,allow
prevent,prevent
improv,improve
use,use
instead,instead
chang,change
to,to
support,support
for,for
implement,implement
updat,update
provid,provide
made,made
correct,correct
creat,create
add,add
addit,add
clarifi,clarify
handl,handle
make,make
tool,tool
new,new
ad,add
ensur,ensure
honor,honor
enabl,enable
store,store
start,start
more,more
requir,require
latest,latest
need,need
get,get
upgrad,upgrade
of,of
rollback,rollback
creation,create
perform,perform
defin,define
reflect,reflect
strategi,strategy
enhanc,enhance
reduc,reduce
better,better
initi,initiate
work,working
spec,spec
introduc,introduce
properli,properly
out,out
from,from
determin,determine
load,load
depend,depend
on,on
begin,begin
featur,feature
proper,properly
capabl,capability
fix,fix
access,access
issu,issue
extract,extract
optim,optimize
appli,apply
convert,convert
modifi,modification
build,build
not,not
handler,handle
miss,missing
restor,restore
error,error
format,format
with,with
disabl,disable
consolid,consolidate
into,into
singl,single
in,in
between,between
keep,keep
separ,separate
move,move
builder,builder
pattern,pattern
replac,replace
remov,remove
unus,unusual
deprec,deprecate
refactor,refactor
combin,combined
revert,revert
be,be
perfect,perfect
clean,clean
up,up
duplic,duplicate
renam,rename
merg,merged
persist,persist
name,name
restructur,restructure
split,split
formati,format
typo,typo
obsolelt,obsolete
redesign,redesign
prefer,prefer
migrat,migrate
pull,pull
obsolet,obsolete
architectur,architecture
code,code
style,style
unnecessari,unnecessary
obselet,obsolete
import,import
simplifi,simplify
unusu,unusual
locat,locate
expos,expose
aren’t,are not
part,part
factor,factor
onto,onto
client,client
same,same
all,all
public,public
comment,comment
stitch,stitch
togeth,together
rework,reworking
easier,easier
central,central
place,place
easili,easily
differ,differ
rid,ride
cleanup,clean
extend,extend
retir,retire
wrapper,wrapper
drop,drop
wrap,wrapper
freshen,freshen
fold,fold
back,back
revisit,revisit
structur,structure
unneed,unnecessary
switch,switch
delet,delete
rewrit,rewrite
rebas,rebase
old,old
warn,warning
integr,integrate
thread,thread
leak,leak
invalid,invalid
inconsist,inconsistent
unabl,unable
doe,does
go,go
down,down
outdat,outdated
erro,error
incorrect,incorrect
illeg,illegible
fail,fail
releas,release
lock,lock
erron,erroneous
cannot,cannot
broken,broken
deadlock,deadlock
due,due
connect,connect
occasionali,occasionally
lack,lack
doesn't,does not
might,might
caus,cause
bug,bug
problem,problem
fixup,fixup
lazi,lazily
failur,failure
correctli,correctly
found,found
except,except
popul,populate
incorrectli,incorrectly
shouldn’t,should not
throw,throw
inabl,inabllity
avoid,avoid
race,race
condit,condition
bound,bound
return,return
rais,raise
no,no
tag,tag
result,result
entri,entry
throttl,throttle
possibl,possible
fallout,fallout
npe,Null Pointer Error
errorpron,error prone
troubl,trouble
aaa,API
version,version
protocol,protocol
bbb,API
api,API
framework,framework
incorpor,incorporate
fall,fallout
plug,plugin
act,act
mode,mode
plugin,plugin
librray,library
backport,backport
sdk,sdk
compat,compatibility
recent,recent
adjust,adjust
attribut,attribute
adapt,adapting
feasibl,feasible
extens,extension
relaunch,relaunch
restart,restarting
commit,commit
sort,sort
gener,generate
good,good
write,write
debug,debug
init,initiate
polici,policy
pick,pick
impl,imply
by,by
total,total
print,print
report,report
reenabl,reenable
refin,refine
check,check
finish,finish
logic,logic
termin,terminate
address,address
suggest,suggest
can,can
invok,invoke
regener,regenerate
cleanup,cleanup
modular,modular
disallow,disallow
inherit,inherit
deleg,delegate
polish,polishing
accept,accept
skeleton,skeleton
now,now
ha,ha
constructor,constructor
avail,benifit
reorgan,reorganize
reimplement,reimplement
refactori,refactor
kill,kill
refactor,refactor
function,function
export,export
backward,backward
step,step
decor,decorate
clean-up,clean
reformat,reformat
revis,revisit
expand,expand
rewrot,rewrite
sq,Software Quality
sonarqub,sonarqube
